,external_id
MR00101262,19
MR00110941,18
MR00105990,18
MR00117367,16
e5bdd7bc-325a-4f88-ad22-a3a820118b68,15
MR00095127,14
FM00171867,12
1805183,11
1809130,11
MR00118229,10
MR00110011,10
MR00098614,8
FM00175134,8
FM00164842,8
FM00164052,7
MR00104270,7
1902483,7
1809358,7
MR00098983,7
FM00170998,7
CA00070678,7
MR00110377,6
1809087,6
1806667,6
MR00113358,6
FM00169377,5
FM00170047,5
MR00110963,5
MR00116453,5
1807213,5
MR00114723,5
FM00167820,5
342b9a09-4499-409a-978a-1525ee0f8ed3,5
MR00119521,5
MR00105746,5
FM00177197,5
MR00109724,4
MR00098684,4
FM00168198,4
MR00109740,4
FM00166318,4
MR00116235,4
MR00102918,4
FM00176551,4
1902864,4
FM00168960,4
MR00116613,4
5ba4de98-f4cc-4c60-9439-262b3405d628,4
FM00175180,4
MR00108289,4
MR00105777,4
1813657,4
1901754,4
MR00116410,4
MR00096956,3
MR00105748,3
MR00104642,3
MR00108384,3
MR00119603,3
MR00100916,3
MR00107303,3
FM00159244,3
MR00098899,3
MR00098542,3
MR00106561,3
1809195,3
MR00106317,3
FM00174213,3
FM00167914,3
MR00109206,3
MR00118152,2
MR00110961,2
MR00107074,2
f4ed7793-493c-4b23-9dac-d57e89afd21f,2
FM00163789,2
MR00112155,2
FM00171598,2
FM00176895,2
1803563,2
1900839,2
MR00111091,2
FM00166894,2
MR00100010,2
MR00120287,2
1807670,2
MR00111161,2
MR00107328,2
1902636,2
1808968,2
1810781,2
MR00115625,2
1807955,2
FM00173873,2
1900658,2
MR00100073,2
FM00173913,2
MR00094722,2
MR00116997,2
MR00107878,2
1807541,2
FM00163484,2
MR00117844,2
MR00117124,2
MR00095129,2
FM00159669,2
FM00168564,2
FM00168285,2
MR00108362,2
FM00173615,2
FM00167140,1
MR00097422,1
FM00167641,1
MR00108053,1
MR00108479,1
MR00101952,1
1810710,1
MR00111260,1
1806831,1
FM00167520,1
1810866,1
MR00108371,1
1805327,1
MR00107876,1
e652e9a0-3203-4dfe-ada4-c151b6b35330,1
FM00160494,1
1806217,1
FM00176782,1
MR00107542,1
MR00106063,1
MR00118828,1
1812706,1
MR00108826,1
FM00171112,1
MR00111306,1
FM00170936,1
MR00101919,1
MR00108859,1
1803593,1
MR00109641,1
238c3bbe-cbbb-43d3-b065-0b1a8f49e2ed,1
FM00159456,1
MR00115778,1
FM00159461,1
MR00115675,1
1805107,1
MR00108096,1
1902399,1
MR00099478,1
FM00170992,1
MR00096466,1
MR00106642,1
MR00110538,1
FM00165764,1
1814377,1
819e6da3-e1f6-4a2e-8033-67d2262830db,1
FM00168830,1
FM00160600,1
MR00098513,1
1806104,1
FM00162998,1
MR00103610,1
MR00107292,1
MR00106568,1
FM00171141,1
1812995,1
1803591,1
1811740,1
FM00162852,1
1807156,1
1809173,1
0781fe89-ecf5-4e2f-bf34-ebae0b012a68,1
FM00167468,1
FM00170618,1
MR00106314,1
1804397,1
MR00119724,1
18db7ad8-8812-49d4-b155-fca5d0050841,1
FM00162693,1
1811154,1
FM00161788,1
MR00101775,1
FM00170586,1
FM00176492,1
FM00174433,1
1802654,1
f83e4ef8-50eb-11e9-8647-d663bd873d93,1
1809721,1
MR00108695,1
MR00118665,1
c918d006-2589-4bd4-90a1-7d39e3490495,1
MR00110217,1
MR00110457,1
3bcfc097-2470-4a67-82ec-b00dcc0cb204,1
336d2006-67cf-4e63-a0b8-f6c1f19c807c,1
FM00167643,1
FM00161216,1
MR00111964,1
1811447,1
MR00102121,1
1809009,1
FM00165658,1
1900138,1
MR00102439,1
FM00166098,1
4a317c04-d618-45d3-adde-6e643505b7d9,1
FM00159906,1
FM00152554,1
FM00174432,1
MR00097431,1
FM00168120,1
MR00106231,1
MR00108703,1
FM00171782,1
FM00168743,1
MR00119996,1
FM00166956,1
FM00171004,1
9364f31f-ab25-4a16-b9b8-9fa7e67fee2b,1
0205069c-ee8a-4062-aa20-350ab8b52f16,1
FM00171964,1
MR00110597,1
FM00162131,1
